apple_music_id,artist,name,key,bpm,djay_bpm,djay_manual_bpm,apple_music_bpm,djay_am_bpm_diff,open_key,comment,key_diff
-1041100664647592315,Hunee,Rare Hapiness,,120.0,120.0,,120,0.0,Key 4m,Key 10m,+6
3105079538647935745,Miss Kittin & The Hacker,The Beach,,131.06,131.06,,131,0.06,Key 4m,Key 10m,+6
93769987669143669,Bruce Haack,Haackula 10,,109.4,109.4,,110,-0.6,Key 4m,Key 10m,+6
-2190445680687021937,Luvless,Luvmaschine Original Mix,,114.0,114.0,,114,0.0,Key 8m,Key 1m,+5
-2075811033732871227,Superpitcher,Lonely Lover,,122.01,122.01,,122,0.01,Key 8d,Key 3m,-5*
537082855769906101,Robag Wruhme,Lampetee,,125.0,125.0,,125,0.0,Key 3m,Key 8m,+5
3254338874554366955,Tourist & Sofia Kourtesis,Your Love (Sofia Kourtesis Remix),,124.0,124.0,,124,0.0,Key 1d,Key 8m,-5*
3593557186480901802,DJ Koze,I Want To Sleep,,121.0,121.0,,121,0.0,Key 3m,Key 11m,-4
5607585844349488110,FCL,It's You (San Soda's Panorama Bar Version),,119.0,119.0,,119,0.0,Key 7m,Key 11m,+4
4574860205344389846,&ME,Solaris,,120.0,120.0,,120,0.0,Key 9m,Key 5m,-4
2133198106254836756,Black Loops,Velvet,,126.0,126.0,,126,0.0,Key 2m,Key 10m,-4
-6147459347040690172,Agaric,No Way I Know I Feel (Axel Boman Remix),,122.0,122.0,,122,0.0,Key 5d,Key 2m,-3*
-4826219367881408504,Amount,Meme,,117.0,117.0,,117,0.0,Key 7d,Key 4m,-3*
-5341903002434053685,Caserta,Ricky (Thatmanmonkz Remix),,117.0,117.0,,117,0.0,Key 11m,Key 2d,+3*
-1016370775152475387,Channel Tres,Sexy Black Timberlake,,116.85,116.85,,117,-0.15,Key 3m,Key 12m,-3
-1550680455717370447,Genius Of Time,Houston We Have A Problem,,117.0,117.0,,117,0.0,Key 3d,Key 6m,+3*
8637315364145261260,Maxxi Soundsystem feat. Name One,Regrets We Have No Use For (Original Mix),,118.0,118.0,,118,0.0,Key 9d,Key 6m,-3*
-7038306849621541798,Burial & Four Tet,Moth (Original Mix),,117.62,117.62,,117,0.62,Key 3d,Key 12m,-3*
2871207577135679659,Axel Boman,The Best Ever Made Ever,,126.0,126.0,,126,0.0,Key 4d,Key 1m,-3*
390601428288667923,Galcher Lustwerk,In the Place,,126.0,126.0,,126,0.0,Key 11m,Key 2d,+3*
8717684724607093260,Jon Hopkins,Vessel (Four Tet Remix),,135.6,135.6,,136,-0.4,Key 9d,Key 6m,-3*
-8436076418618788922,Mano Le Tough,Energy Flow (DJ Koze's Miles&More Remix),,124.0,124.0,,124,0.0,Key 12d,Key 9m,-3*
-3398639688651704755,Marie Davidson,Work It (Soulwax Remix),,125.0,125.0,,125,0.0,Key 2d,Key 11m,-3*
-1042223092817879157,PJ,"Everything In Its Right Place (House, Extended)",,124.0,124.0,,124,0.0,Key 1d,Key 10m,-3*
6269445353626103086,Chemise,She Can't Love You,,113.76,113.76,,115,-1.24,Key 3m,Key 12d,-3*
-1988442213491485508,Black Loops,Sex,,121.0,121.0,,121,0.0,Key 1m,Key 11m,-2
1616447913451187609,Joe Gray,Tozai,,115.99,115.99,,116,-0.01,Key 6m,Key 8d,+2*
-6538356273024525486,Audision,Red Sky (Robag Wruhme Remix),,124.01,124.01,,124,0.01,Key 12m,Key 2m,+2
5740122374999478625,The Cure,Alone (Four Tet Remix),,129.0,129.0,,129,0.0,Key 1d,Key 11m,-2*
-7045003514904937601,DJ Koze,Hicc Up,,124.52,124.52,,125,-0.48,Key 11m,Key 1m,+2
2068579032242441391,Literon,Machine I,,126.0,126.0,,126,0.0,Key 8m,Key 10m,+2
-4602658741407229115,Superpitcher,Mushroom,,125.6,125.6,,126,-0.4,Key 1d,Key 11m,-2*
-1203581180132727585,Brenton Wood,I'm the One Who Knows,,108.3,108.3,,108,0.3,Key 1d,Key 11m,-2*
113827849185282199,Khruangbin & Leon Bridges,Texas Sun,,111.6,111.6,,112,-0.4,Key 3d,Key 1m,-2*
-1763766677364066068,Agoria,Solarized,,121.98,121.98,,122,-0.02,Key 12m,Key 11m,-1
-993055991867181152,Aleksandir,Dreams,,119.0,119.0,,119,0.0,Key 6m,Key 7m,+1
-5241284092570830449,AQUARIUS HEAVEN,Universe,,120.0,120.0,,120,0.0,Key 3m,Key 2m,-1
1576184741139438427,Arutani,If It Means This Much To You,,117.0,117.0,,117,0.0,Key 3m,Key 2m,-1
6602896121908246392,Ben Pearce,What I Might Do,,122.0,122.0,,122,0.0,Key 11m,Key 10m,-1
-707233682321719874,Bostro Pesopeo,Yes,,120.0,120.0,,120,0.0,Key 1m,Key 12m,-1
7443157208337304765,Botany,Vision of This Earth Before Our Time,,111.0,111.0,,111,0.0,Key 1d,Key 12m,-1*
-4490884888249493357,Brigade feat. Acud,Meet Me On Pluto!,,110.0,110.0,,110,0.0,Key 10m,Key 11m,+1
-7889535770978044983,Daniel Bortz,Cuz You're the One,,111.0,111.0,,111,0.0,Key 5m,Key 4m,-1
4454297499437696632,Daniela La Luz,Did You Ever,,120.0,120.0,,120,0.0,Key 1d,Key 2m,+1*
-7327094503829530315,DJ Boring,Winona,,122.0,122.0,,122,0.0,Key 10m,Key 11m,+1
-7897769894432822049,DJ Koze,XTC (Original Mix),,118.0,118.0,,118,0.0,Key 1d,Key 12m,-1*
4044238728449588895,DJ Koze feat. Eddie Fummler,Moving in a Liquid,,118.0,118.0,,118,0.0,Key 7m,Key 8d,+1*
-8172646936676085917,Fred again..,Kyle (I Found You),,112.0,112.0,,112,0.0,Key 11m,Key 10d,-1*
-7612830126033085477,Hodini,Chronic Gangster Boogie,,118.0,118.0,,118,0.0,Key 11m,Key 10m,-1
-1757175931376296420,Isabeau Fort & Kalipo,Sometimes,,110.0,110.0,,110,0.0,Key 1m,Key 2m,+1
6814686393328195900,Jabru feat. Joel Culpepper,Church,,120.0,120.0,,120,0.0,Key 1m,Key 2d,+1*
4159827274565712762,Jacob Mikesh Filburt,At the Ranch (Lauer Remix),,117.0,117.0,,117,0.0,Key 10m,Key 9d,-1*
6019201540118438345,Jamie xx feat. Romy,Loud Places,,109.0,109.0,,109,0.0,Key 7d,Key 6m,-1*
-1152319149289549653,Jitwam,Whereyougonnago?,,118.0,118.0,,118,0.0,Key 12m,Key 11m,-1
-3099748341900849635,Jürgen Paape,So Weit Wie Noch Nie,,119.99,119.99,,120,-0.01,Key 8d,Key 9m,+1*
6301036291455673116,kalupke,deep talk,,117.0,117.0,,117,0.0,Key 4m,Key 3m,-1
5735180602174384114,Keinemusik feat. Ali Love,Confusion,,120.0,120.0,,120,0.0,Key 11m,Key 10m,-1
4366919145322798016,Keinemusik feat. Sofie,Discoteca Dub,,120.0,120.0,,120,0.0,Key 5m,Key 4m,-1
-4419493009642392774,Lake People,Point In Time,,120.0,120.0,,120,0.0,Key 5m,Key 4d,-1*
5479791432407886535,Lokke & Wodoo Wolcan,00deep und das gefährliche Unterstrassphantom,,113.0,113.0,,113,0.0,Key 7m,Key 6m,-1
-3966674594763498788,Morning Factory,Diane's Love,,116.0,116.0,,116,0.0,Key 3m,Key 2m,-1
-1107922700146221205,Ninze,Cloud N°7,,115.0,115.0,,115,0.0,Key 8m,Key 7m,-1
-8287164466494660950,Osunlade,Dionne,,120.0,120.0,,120,0.0,Key 12m,Key 11m,-1
-2617904593895345791,Robag Wruhme,Tulpa Ovi,,120.0,120.0,,120,0.0,Key 2d,Key 1m,-1*
2017298544361737566,Round,Lucky Star,,117.0,117.0,,117,0.0,Key 12m,Key 11m,-1
-3050373675599917392,She Knows,Thalassa (Original Mix),,121.0,121.0,,121,0.0,Key 7d,Key 8d,+1
-19128524033796391,Tomas Barfod,Came To Party,,104.0,104.0,,104,0.0,Key 1m,Key 12d,-1*
-7866822820757298239,upper class,CONVENTIONAL PARTIES,,120.0,120.0,,120,0.0,Key 3m,Key 2m,-1
3078844038719059858,Everything But The Girl,Walking Wounded,,78.0,78.0,,78,0.0,Key 6m,Key 5m,-1
-4830955274663771791,Aluna & KAYTRANADA,The Recipe (Bella Boo Remix),,126.0,126.0,,126,0.0,Key 11m,Key 10m,-1
7808400948320171855,Andre Lodemann,Where Are You Now,,126.0,126.0,,126,0.0,Key 8m,Key 9m,+1
-1187099087531568096,Barry Can't Swim,Fiorucci Made Me Hardcore,,137.0,137.0,,137,0.0,Key 3m,Key 2m,-1
-40282001757965069,Bella Boo,True Romance (Maja Edit),,126.0,126.0,,126,0.0,Key 8d,Key 9m,+1*
4828034881631250974,Butch,Dope,,123.0,123.0,,123,0.0,Key 7m,Key 8m,+1
-6948314719302007257,Calibre,Things like This,,175.0,175.0,,175,0.0,Key 1m,Key 12m,-1
218895051335754809,Daphni,Tin,,127.0,127.0,,127,0.0,Key 2m,Key 1m,-1
6766537680350598542,Daso,T. Anders,,128.0,128.0,,128,0.0,Key 1m,Key 12m,-1
-8798203659117990838,Dauwd,Ikopol,,126.0,126.0,,126,0.0,Key 12m,Key 11m,-1
4524539483193774019,DJ Koze,Mariposa,,124.01,124.01,,124,0.01,Key 5m,Key 4m,-1
8203824934656792969,Fred again..,Dermot (See Yourself In My Eyes),,150.0,150.0,,150,0.0,Key 2d,Key 1d,-1
-52578666955365534,Galcher Lustwerk,Outside the Club,,124.0,124.0,,124,0.0,Key 11m,Key 10m,-1
-8094045188639699378,Genius Of Time,Peace Bird,,124.0,124.0,,124,0.0,Key 11m,Key 10m,-1
1479657438848574273,Guti,We Shall Overcome,,123.0,123.0,,123,0.0,Key 11m,Key 10m,-1
1394111938167929366,Guti & Dubshape,Every Cow Has A Bird,,124.0,124.0,,124,0.0,Key 6m,Key 5m,-1
8786674993895568321,Head High,Break Away,,128.0,128.0,,128,0.0,Key 2d,Key 1m,-1*
6008651176952474001,Jeigo,Pearl Leaf,,129.0,129.0,,129,0.0,Key 11m,Key 10m,-1
35977874145636454,José González,Heartbeats (Logic1000 Remix),,124.0,124.0,,124,0.0,Key 8m,Key 7m,-1
-5017383197214221551,Larry Heard & Mr. White,The Sun Can't Compare (Long Version),,128.0,128.0,,128,0.0,Key 2m,Key 1m,-1
-4881695016634322802,Marcel Fengler,Jaz,,126.0,126.0,,126,0.0,Key 4d,Key 3d,-1
8515264794114754057,Max von Sternberg,Moving (Sofia Kourtesis Remix),,124.0,124.0,,124,0.0,Key 1m,Key 2m,+1
1473143316093082155,Meera (NO),No Space,,124.0,124.0,,124,0.0,Key 11m,Key 12m,+1
6552260486764636344,The MFA,The Difference It Makes (Superpitcher Mix),,126.0,126.0,,126,0.0,Key 5m,Key 4d,-1*
-7218034917291448282,Mount Kimbie,Made To Stray (DJ Koze Remix),,125.0,125.0,,125,0.0,Key 8m,Key 7m,-1
7492837625790901235,not even noticed,Affected,,135.0,135.0,,135,0.0,Key 2m,Key 1m,-1
-7045974142339870800,Overmono,Good Lies,,126.0,126.0,,126,0.0,Key 10d,Key 9m,-1*
2671138780264972249,Pachanga Boys,Time,,124.0,124.0,,124,0.0,Key 12d,Key 11m,-1*
4594182945475060106,Raphael Schön,Energy,,133.0,133.0,,133,0.0,Key 10m,Key 11m,+1
1289229825707827837,Rework,You're So Just Just,,128.0,128.0,,128,0.0,Key 9m,Key 8d,-1*
5439167543615706885,Róisín Murphy,What Not To Do,,149.0,149.0,,149,0.0,Key 12m,Key 11d,-1*
-1240621798249027145,Steffi feat. Virginia,Yours,,125.0,125.0,,125,0.0,Key 12m,Key 1m,+1
-4543547373182138762,Tony Lionni,Found a Place,,124.74,124.74,,125,-0.26,Key 11m,Key 10m,-1
-693606104447566687,Westbam feat. Richard Butler,You Need the Drugs,,128.0,128.0,,128,0.0,Key 7m,Key 6m,-1
-278947713659329127,splonie,Do It To Me (Original Mix),,124.0,124.0,,124,0.0,Key 2m,Key 3m,+1
-4615044007882525770,Fred again..,Yasminah (See Your Face Again),,118.0,118.0,,118,0.0,Key 6m,Key 5m,-1
2993616516544629278,Fred again.. & The Blessed Madonna,Marea (We’ve Lost Dancing),,123.0,123.0,,123,0.0,Key 8m,Key 9m,+1
6687214374290980198,Ede & Deckert feat. Sargland,"Narciss ""Venice"" Remix",,131.0,131.0,,131,0.0,Key 6m,Key 7m,+1
-8025170460042274911,"Fred again.., Jozzy, Jim Legxacy",ten,,128.2,128.2,,128,0.2,Key 3d,Key 2m,-1*
-8947638436345153808,Daphni,Yes I Know,,116.0,116.0,,116,0.0,Key 4m,Key 3d,-1*
5118930729986298770,Aaron Ahrends,Little Space,,120.0,120.0,,120,0.0,Key 12m,Key 12m,+0
5924770997137196861,Against All Logic,Such a Bad Way,,111.0,111.0,,111,0.0,Key 9d,Key 9d,+0
2765481004266052142,Akufen,Train To Barcelona,,120.0,120.0,,120,0.0,Key 3d,Key 3d,+0
-7229582590791078386,Al Rajul Al Hadidi,Void,,98.0,98.0,,98,0.0,Key 9m,Key 9m,+0
-5858397837668005710,Aleksandir,Yamaha,,121.0,121.0,,121,0.0,Key 10m,Key 10m,+0
5558795033755423263,Andre Bratten,Aegis,,118.0,118.0,,118,0.0,Key 9m,Key 9m,+0
3881143946558082442,Andy Pickford,Temple of The Wonklord,,112.0,112.0,,112,0.0,Key 3m,Key 3m,+0
-94155795888975763,Aphex Twin,Iz-Us,,119.0,119.0,,119,0.0,Key 7m,Key 7m,+0
923548548537117844,Arutani,Any Kind of Magic,,117.0,117.0,,117,0.0,Key 8d,Key 8m,+0*
6057117848794901314,Arutani & Faber,Summon Ghosts,,115.0,115.0,,115,0.0,Key 11m,Key 11m,+0
3890875623303360691,Axel Boman,Eyes Of My Mind,,122.0,122.0,,122,0.0,Key 1d,Key 1d,+0
-1955590648952392930,Axel Boman,Hello,,118.0,118.0,,118,0.0,Key 11m,Key 11m,+0
-5760345974743762960,Axel Boman,Purple Drank,,119.0,119.0,,119,0.0,Key 3m,Key 3m,+0
-1345405382556863012,Behling and Simpson,Left Behind,,113.0,113.0,,113,0.0,Key 2m,Key 2m,+0
5630613999294536276,Bibio,Lovers Carvings (Catz 'n Dogz Re-edit),,122.0,122.0,,122,0.0,Key 9m,Key 9m,+0
-4336282834212606353,Bicep,Just (Original Mix),,120.0,120.0,,120,0.0,Key 12m,Key 12m,+0
-568798213694166175,COMA,Lora (Robag's Fandara Qualv NB),,119.0,119.0,,119,0.0,Key 3d,Key 3m,+0*
-7169012602955485702,Constantijn Lange,Snagsens Delight,,93.0,93.0,,93,0.0,Key 6m,Key 6m,+0
6529080097303897323,DAMH,Black Night,,120.0,120.0,,120,0.0,Key 2m,Key 2m,+0
-6601070336429445998,Daniel Bortz,Boyz 2 Men (Original Mix),,120.0,120.0,,120,0.0,Key 1m,Key 1m,+0
-4757175869218425655,Daniel Bortz,Wohin Willst Du?,,120.0,120.0,,120,0.0,Key 12m,Key 12m,+0
-2177980953182480184,Dave DK,Don't Eat The Homies,,121.0,121.0,,121,0.0,Key 6m,Key 6m,+0
664119657854388720,Dave DK,Jelly Legs,,120.0,120.0,,120,0.0,Key 6d,Key 6m,+0*
1094811722511994953,Dave DK,Will Be Gone,,122.0,122.0,,122,0.0,Key 7m,Key 7m,+0
1789459631927062184,David August,Epikur,,118.0,118.0,,118,0.0,Key 9m,Key 9m,+0
629804561382532414,DJ Koze,Seeing Aliens,,119.0,119.0,,119,0.0,Key 11d,Key 11m,+0*
-2285177982199502665,DJ Koze,My Grandmotha,,118.01,118.01,,118,0.01,Key 8d,Key 8d,+0
3157503393842217991,DJ Koze,Buschtaxi (Extended Version),,120.0,120.0,,120,0.0,Key 4m,Key 4m,+0
-8772676235962720807,DJ Koze feat. Ada,Homesick,,97.0,97.0,,97,0.0,Key 1m,Key 1m,+0
644566616497295789,DJ Koze feat. Apparat,Nices Wölkchen,,120.0,120.0,,120,0.0,Key 8d,Key 8d,+0
6877959556069690737,DJ Koze feat. Arnim Teutoburg-Weiß und The Düsseldorf Düsterboys,Wie schön du bist,,117.0,117.0,,117,0.0,Key 9m,Key 9m,+0
6669088011983288927,DJ Phono,Gone,,122.0,122.0,,122,0.0,Key 10m,Key 10m,+0
-8062943470044357536,DJ Phono,Knarhcslhük Mi Ttinhcsfua Hcon Ebah Hci,,121.0,121.0,,121,0.0,Key 11m,Key 11m,+0
-4131925009697991208,Dominik Eulberg,Sansula (Max Cooper's Lost In Sound Mix),,121.0,121.0,,121,0.0,Key 1m,Key 1m,+0
623410646784030503,Dorisburg,Emotion,,122.0,122.0,,122,0.0,Key 1m,Key 1m,+0
-5639804195476274594,Dorothy's Ghost,Never Said Goodbye (Lee Waxman's Long Hot Disco Mix),,115.0,115.0,,115,0.0,Key 12m,Key 12m,+0
3321866976242804566,Dürerstuben,Trunce Zen Dance,,116.0,116.0,,116,0.0,Key 7m,Key 7m,+0
-5307417430491785433,dwig,one for good,,97.5,97.5,,98,-0.5,Key 7m,Key 7m,+0
3364475017115294024,ELIXIR,Aconite,,111.0,111.0,,111,0.0,Key 9m,Key 9m,+0
-1142451871087440255,Fango,Betta,,120.0,120.0,,120,0.0,Key 11m,Key 11m,+0
-3297721473452111537,Fort Romeau,Secrets & Lies,,120.0,120.0,,120,0.0,Key 11m,Key 11m,+0
-6326260578464213578,Frank & Tony feat. Gry,Bring the Sun (Vocal),,114.0,114.0,,114,0.0,Key 1m,Key 1m,+0
-8007705447946019559,Frankey & Sandrino,Acamar,,120.0,120.0,,120,0.0,Key 1m,Key 1m,+0
-4906264432296496955,Fred again..,Bleu (better with time),,122.0,122.0,,122,0.0,Key 6d,Key 6m,+0*
5501887514845528421,Galcher Lustwerk,Parlay,,119.0,119.0,,119,0.0,Key 8m,Key 8m,+0
833952629755050,Galcher Lustwerk,Put On,,121.5,121.5,,122,-0.5,Key 3m,Key 3m,+0
-446766022501049772,Galcher Lustwerk,I Neva Seen,,118.0,118.0,,118,0.0,Key 9m,Key 9m,+0
6492903485579808714,Glok,That Time of Night,,116.0,116.0,,116,0.0,Key 10m,Key 10m,+0
8986200716704961337,Gregor Schwellenbach feat. Christian Buck,Superpitcher’s Tomorrow,,94.0,94.0,,94,0.0,Key 2d,Key 2m,+0*
8512659358000451275,Guti,Patio de juegos,,122.0,122.0,,122,0.0,Key 3m,Key 3m,+0
1974117155086037343,Guy Gerber,What To Do (&ME Remix),,122.0,122.0,,122,0.0,Key 10m,Key 10m,+0
2118039170142216861,Gwilym Gold & Doc Daneeka,Lust For Sale (MGF Mix),,121.0,121.0,,121,0.0,Key 9m,Key 9m,+0
1739816367822923873,Herbert,It's Only (DJ Koze Remix),,118.0,118.0,,118,0.0,Key 4m,Key 4m,+0
-7162002396809533115,HNNY,12 00,,118.0,118.0,,118,0.0,Key 9m,Key 9m,+0
-3634902526328489924,Hot Natured,Benediction,,116.0,116.0,,116,0.0,Key 1m,Key 1m,+0
-2593304312278865326,The Invisible feat. Connan Mockasin,K Town Sunset (Tee Mango Summer Daze Revision),,119.0,119.0,,119,0.0,Key 11m,Key 11m,+0
4945362780685598928,Iron Curtis,Lucent (Original Mix),,119.0,119.0,,119,0.0,Key 9m,Key 9m,+0
4730276846874544397,Isolee,I Like It Here Can I Stay,,120.0,120.0,,120,0.0,Key 1m,Key 1m,+0
7902396916514851131,Isolée,Allowance,,120.0,120.0,,120,0.0,Key 1m,Key 1m,+0
4492187744495502467,Jackmate feat. Nik Reiff,Pacemaker,,120.0,120.0,,120,0.0,Key 11m,Key 11m,+0
-5763333568490936263,Jacob Mikesh Filburt,Philipp Dolphia,,116.0,116.0,,116,0.0,Key 7d,Key 7m,+0*
393292672924426404,Jamie XX feat. Young Thug & Popcaan,I Know There's Gonna Be (Good Times),,89.5,89.5,,90,-0.5,Key 3m,Key 3m,+0
6236764911369615890,Jamie XX,Sleep Sound,,118.2,118.2,,118,0.2,Key 10m,Key 10m,+0
2206076455905859951,Jayda G,All I Need (DJ-Kicks),,120.0,120.0,,120,0.0,Key 2m,Key 2m,+0
-1930755565674832180,Jimpster,Porchlight And Rocking Chairs (KiNK Remix),,120.0,120.0,,120,0.0,Key 10d,Key 10m,+0*
7242406951665744128,Joe Stawarz,Bee Bear,,120.0,120.0,,120,0.0,Key 1m,Key 1m,+0
-2184625639753560364,John Talabot feat. Pional,So Will Be Now,,117.0,117.0,,117,0.0,Key 9m,Key 9m,+0
7468507413304770632,Jon Hopkins,Sun Harmonics,,118.0,118.0,,118,0.0,Key 2d,Key 2d,+0
-8657101418717907301,Joy Jenkins,Flowers,,120.0,120.0,,120,0.0,Key 12m,Key 12m,+0
3444849648932737616,Keinemusik,What You Expected,,122.0,122.0,,122,0.0,Key 2m,Key 2m,+0
1218550728542419718,Keinemusik,Muyè,,120.0,120.0,,120,0.0,Key 1m,Key 1m,+0
-7910291475826423363,Keinemusik feat. Nomi Ruiz,Bumper,,120.0,120.0,,120,0.0,Key 1m,Key 1m,+0
2408419544984801267,Kiasmos,Looped,,120.0,120.0,,120,0.0,Key 11m,Key 11m,+0
-1482847748072480717,Lady Alma,It's House Music,,120.0,120.0,,120,0.0,Key 11m,Key 11m,+0
-9175606036320139693,Lauer feat. Dena,Make It Stay (Boris Dlugosch Remix),,122.0,122.0,,122,0.0,Key 1d,Key 1d,+0
-5225462014731157303,Lawrence,Glow,,121.0,121.0,,121,0.0,Key 12m,Key 12m,+0
-8356137033194206961,Leafar Legov,Cenote,,120.0,120.0,,120,0.0,Key 11m,Key 11m,+0
7941195832775621978,Leon Vynehall,Time,,119.99,119.99,,120,-0.01,Key 4m,Key 4m,+0
595488912866712317,Leon Vynehall,Butterflies,,120.0,120.0,,120,0.0,Key 10m,Key 10m,+0
-8656412931983252698,Les Sins,Grind,,120.0,120.0,,120,0.0,Key 8m,Key 8m,+0
-7073656316195896404,Letherette,Langsette,,114.0,114.0,,114,0.0,Key 11d,Key 11m,+0*
-2325399072246630344,Logic1000,Fused (DJ - Kicks),,98.0,98.0,,98,0.0,Key 4m,Key 4m,+0
5521436990675112239,Lokke,Tuo Volto,,115.0,115.0,,115,0.0,Key 1m,Key 1m,+0
-8653438490928766201,Luca Musto,Word,,114.0,114.0,,114,0.0,Key 5m,Key 5m,+0
-4907764437845027756,Luca Musto,Tight Situation,,109.0,109.0,,109,0.0,Key 12m,Key 12m,+0
3472006066853710211,Maceo Plex,Can't Leave You (Original Mix),,121.0,121.0,,121,0.0,Key 12m,Key 12m,+0
-8946897961646146718,Maceo Plex,Her Security,,120.0,120.0,,120,0.0,Key 3d,Key 3d,+0
-841682508963960400,Maceo Plex,Your Style (Maceo Plex Re-visit),,122.0,122.0,,122,0.0,Key 9m,Key 9m,+0
9018061109031782142,Map.Ache,Enola (Original Mix),,121.0,121.0,,121,0.0,Key 1m,Key 1m,+0
-1166790865708347174,Maribou State feat. Pedestrian,The Clown (Axel Boman Remix),,116.0,116.0,,116,0.0,Key 1m,Key 1m,+0
5699899632460125763,"&ME, Black Coffee, Keinemusik",The Rapture Pt.III,,120.0,120.0,,120,0.0,Key 1m,Key 1m,+0
-6311773487798049096,Melanie De Biasio,Afro Blue,,102.0,102.0,,102,0.0,Key 1m,Key 1m,+0
-7876756274182519337,Midlake,Roscoe (Beyond The Wizard's Sleeve Remix),,121.7,121.7,,121,0.7,Key 6d,Key 6m,+0*
